species,lat,lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Gymnosporia_rothiana,17.9199,73.6899,19.750000000000057,9.9,0.48800001144409183,215.70000000000002,30.850000000000023,10.650000000000034,20.200000000000003,19.650000000000034,18.950000000000045,22.850000000000023,17.150000000000034,3921.8,1443.7,0.8,139.6,3129.9,8.6,97.10000000000001,63.5
Gymnosporia_rothiana,17.9202,73.6933,20.650000000000034,9.9,0.49800000190734867,204.0,31.55000000000001,11.750000000000057,19.8,20.55000000000001,19.850000000000023,23.55000000000001,18.150000000000034,3828.6000000000004,1402.9,0.8,139.0,3044.4,8.700000000000001,96.4,64.2
Gymnosporia_rothiana,17.9213,73.6885,19.750000000000057,9.9,0.48800001144409183,215.70000000000002,30.850000000000023,10.650000000000034,20.200000000000003,19.650000000000034,18.950000000000045,22.850000000000023,17.150000000000034,3921.8,1443.7,0.8,139.6,3129.9,8.6,97.10000000000001,63.5
Gymnosporia_rothiana,17.9214,73.689,19.750000000000057,9.9,0.48800001144409183,215.70000000000002,30.850000000000023,10.650000000000034,20.200000000000003,19.650000000000034,18.950000000000045,22.850000000000023,17.150000000000034,3921.8,1443.7,0.8,139.6,3129.9,8.6,97.10000000000001,63.5
Gymnosporia_rothiana,17.9224,73.6891,19.750000000000057,9.9,0.48800001144409183,215.70000000000002,30.850000000000023,10.650000000000034,20.200000000000003,19.650000000000034,18.950000000000045,22.850000000000023,17.150000000000034,3921.8,1443.7,0.8,139.6,3129.9,8.6,97.10000000000001,63.5
Gymnosporia_rothiana,17.9226,73.6894,19.750000000000057,9.9,0.48800001144409183,215.70000000000002,30.850000000000023,10.650000000000034,20.200000000000003,19.650000000000034,18.950000000000045,22.850000000000023,17.150000000000034,3921.8,1443.7,0.8,139.6,3129.9,8.6,97.10000000000001,63.5
Gymnosporia_rothiana,17.9295,73.8083,20.250000000000057,9.9,0.4960000038146973,213.0,31.350000000000023,11.450000000000045,19.900000000000002,20.250000000000057,19.450000000000045,23.250000000000057,17.650000000000034,2229.5,777.7,0.6000000000000001,132.3,1706.5,7.4,70.7,49.1
Gymnosporia_rothiana,17.9307,73.6477,19.750000000000057,9.9,0.48499999046325687,223.3,30.950000000000045,10.450000000000045,20.5,19.750000000000057,18.950000000000045,22.950000000000045,17.05000000000001,4350.0,1628.1000000000001,0.7000000000000001,142.3,3524.3,7.9,98.9,56.900000000000006
Gymnosporia_rothiana,17.9319,73.6458,19.750000000000057,9.9,0.48499999046325687,223.3,30.950000000000045,10.450000000000045,20.5,19.750000000000057,18.950000000000045,22.950000000000045,17.05000000000001,4350.0,1628.1000000000001,0.7000000000000001,142.3,3524.3,7.9,98.9,56.900000000000006
Gymnosporia_rothiana,17.9401,73.6879,19.850000000000023,9.9,0.48800001144409183,215.70000000000002,30.950000000000045,10.750000000000057,20.200000000000003,19.750000000000057,19.05000000000001,22.850000000000023,17.150000000000034,3838.1000000000004,1410.0,0.8,139.3,3056.1000000000004,8.5,94.80000000000001,63.6
Gymnosporia_rothiana,17.9707,73.64,20.150000000000034,10.0,0.48600001335144044,221.20000000000002,31.350000000000023,10.850000000000023,20.5,20.150000000000034,19.350000000000023,23.250000000000057,17.450000000000045,4140.400000000001,1556.7,0.7000000000000001,142.9,3362.6000000000004,7.300000000000001,92.30000000000001,50.900000000000006
